H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,愛媛,●,0,1,0,1,-1,0,16
A,水戸,●,0,4,0,5,-5,0,21
H,湘南,△,0,0,0,5,-5,1,21
A,長崎,●,1,2,1,7,-6,1,21
H,町田,△,2,2,3,9,-6,2,21
H,群馬,○,2,0,5,9,-4,5,18
A,岡山,○,1,0,6,9,-3,8,16
A,大分,●,0,1,6,10,-4,8,18
H,熊本,●,0,2,6,12,-6,8,20
A,岐阜,●,0,1,6,13,-7,8,20
A,東京Ｖ,●,1,2,7,15,-8,8,21
H,千葉,○,2,1,9,16,-7,11,19
H,山形,△,1,1,10,17,-7,12,18
A,徳島,△,1,1,11,18,-7,13,19
H,福岡,●,0,5,11,23,-12,13,19
H,松本,●,0,4,11,27,-16,13,19
A,名古屋,○,3,2,14,29,-15,16,18
A,讃岐,●,0,1,14,30,-16,16,18
H,山口,○,3,2,17,32,-15,19,18
A,京都,○,3,1,20,33,-13,22,18
H,横浜FC,○,3,2,23,35,-12,25,17
A,福岡,○,2,0,25,35,-10,28,17
H,岡山,●,1,2,26,37,-11,28,17
A,千葉,●,0,2,26,39,-13,28,17
A,松本,●,0,4,26,43,-17,28,18
H,東京Ｖ,△,0,0,26,43,-17,29,18
A,山形,●,1,2,27,45,-18,29,18
H,徳島,●,0,4,27,49,-22,29,18
A,群馬,△,1,1,28,50,-22,30,18
H,讃岐,●,1,2,29,52,-23,30,18
H,長崎,●,1,2,30,54,-24,30,19
A,横浜FC,●,0,2,30,56,-26,30,19
H,名古屋,○,3,1,33,57,-24,33,18
H,大分,△,1,1,34,58,-24,34,19
A,湘南,●,2,4,36,62,-26,34,20
H,愛媛,○,4,1,40,63,-23,37,18
A,湘南,△,1,1,41,64,-23,38,18
H,京都,△,0,0,41,64,-23,39,18
A,山口,○,1,0,42,64,-22,42,18
H,岐阜,△,1,1,43,65,-22,43,18
A,熊本,○,4,1,47,66,-19,46,18
H,水戸,○,2,1,49,67,-18,49,17
