H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,札幌,●,0,1,0,1,-1,0,16
A,讃岐,○,4,1,4,2,2,3,7
H,熊本,○,3,1,7,3,4,6,3
H,福岡,△,3,3,10,6,4,7,5
A,栃木,○,2,0,12,6,6,10,2
H,群馬,○,2,0,14,6,8,13,2
A,北九州,●,2,3,16,9,7,13,3
H,横浜FC,△,2,2,18,11,7,14,3
A,東京Ｖ,○,1,0,19,11,8,17,3
H,千葉,○,2,0,21,11,10,20,2
H,長崎,○,1,0,22,11,11,23,2
A,愛媛,○,1,0,23,11,12,26,2
H,大分,△,1,1,24,12,12,27,2
A,富山,○,1,0,25,12,13,30,2
A,松本,●,1,2,26,14,12,30,2
H,岡山,△,1,1,27,15,12,31,3
H,水戸,○,1,0,28,15,13,34,2
A,岐阜,○,4,0,32,15,17,37,2
H,湘南,●,1,2,33,17,16,37,2
A,山形,○,1,0,34,17,17,40,2
A,京都,○,3,2,37,19,18,43,2
H,東京Ｖ,●,1,2,38,21,17,43,3
A,横浜FC,●,0,4,38,25,13,43,3
H,讃岐,○,4,2,42,27,15,46,3
H,松本,△,1,1,43,28,15,47,3
A,福岡,●,1,3,44,31,13,47,3
H,富山,○,3,2,47,33,14,50,3
A,湘南,△,1,1,48,34,14,51,3
H,栃木,●,2,3,50,37,13,51,3
A,岡山,△,1,1,51,38,13,52,3
A,長崎,△,1,1,52,39,13,53,3
H,北九州,○,3,1,55,40,15,56,3
A,水戸,●,1,4,56,44,12,56,3
H,愛媛,○,2,0,58,44,14,59,3
A,大分,●,0,2,58,46,12,59,3
H,岐阜,○,3,1,61,47,14,62,3
A,熊本,△,0,0,61,47,14,63,3
H,京都,△,2,2,63,49,14,64,3
A,千葉,△,2,2,65,51,14,65,3
A,群馬,△,1,1,66,52,14,66,3
H,山形,●,0,2,66,54,12,66,3
A,札幌,△,1,1,67,55,12,67,4
