H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,金沢,○,1,0,1,0,1,3,6
A,Ｃ大阪,●,1,3,2,3,-1,3,13
H,京都,○,2,1,4,4,0,6,8
H,札幌,△,1,1,5,5,0,7,8
A,岡山,△,0,0,5,5,0,8,10
H,熊本,○,2,0,7,5,2,11,7
A,千葉,●,0,2,7,7,0,11,9
A,大分,○,3,0,10,7,3,14,6
H,水戸,○,2,1,12,8,4,17,5
A,徳島,△,0,0,12,8,4,18,5
H,愛媛,○,1,0,13,8,5,21,4
H,北九州,○,2,0,15,8,7,24,4
A,群馬,○,2,0,17,8,9,27,4
H,磐田,△,1,1,18,9,9,28,4
A,岐阜,○,5,0,23,9,14,31,1
H,福岡,○,2,0,25,9,16,34,1
H,讃岐,○,2,0,27,9,18,37,1
A,栃木,○,2,0,29,9,20,40,1
A,横浜FC,○,3,0,32,9,23,43,1
H,東京Ｖ,●,0,2,32,11,21,43,1
A,長崎,○,1,0,33,11,22,46,1
A,札幌,○,3,2,36,13,23,49,1
H,岡山,○,3,0,39,13,26,52,1
A,福岡,○,3,1,42,14,28,55,1
H,横浜FC,○,3,0,45,14,31,58,1
H,岐阜,○,5,0,50,14,36,61,1
A,北九州,○,2,1,52,15,37,64,1
H,栃木,○,1,0,53,15,38,67,1
A,愛媛,●,1,3,54,18,36,67,1
H,群馬,△,1,1,55,19,36,68,1
A,水戸,●,0,1,55,20,35,68,1
H,Ｃ大阪,●,1,2,56,22,34,68,1
A,東京Ｖ,○,1,0,57,22,35,71,1
H,千葉,○,2,1,59,23,36,74,1
A,磐田,△,2,2,61,25,36,75,1
A,熊本,●,0,3,61,28,33,75,1
H,徳島,●,1,2,62,30,32,75,1
A,京都,△,2,2,64,32,32,76,1
H,長崎,○,2,1,66,33,33,79,1
A,讃岐,△,1,1,67,34,33,80,1
H,大分,○,3,2,70,36,34,83,1
A,金沢,○,2,1,72,37,35,86,1
