H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,町田,○,1,0,1,0,1,3,4
A,水戸,○,1,0,2,0,2,6,3
H,群馬,○,1,0,3,0,3,9,1
A,山形,○,1,0,4,0,4,12,1
H,金沢,△,2,2,6,2,4,13,2
H,千葉,○,2,1,8,3,5,16,1
A,清水,○,2,0,10,3,7,19,1
H,北九州,△,1,1,11,4,7,20,1
A,札幌,●,0,1,11,5,6,20,2
H,京都,●,0,2,11,7,4,20,3
A,松本,○,1,0,12,7,5,23,2
A,愛媛,△,0,0,12,7,5,24,2
H,山口,●,2,4,14,11,3,24,4
A,横浜FC,△,1,1,15,12,3,25,4
H,岡山,○,2,1,17,13,4,28,3
H,讃岐,●,2,3,19,16,3,28,5
A,長崎,○,2,1,21,17,4,31,5
A,岐阜,○,1,0,22,17,5,34,3
H,徳島,○,3,2,25,19,6,37,2
H,東京Ｖ,○,1,0,26,19,7,40,2
A,熊本,○,5,1,31,20,11,43,2
H,札幌,△,0,0,31,20,11,44,3
A,群馬,○,2,0,33,20,13,47,3
H,町田,●,1,3,34,23,11,47,3
A,讃岐,●,1,2,35,25,10,47,3
A,京都,△,3,3,38,28,10,48,3
H,横浜FC,●,2,3,40,31,9,48,4
A,山口,○,2,0,42,31,11,51,3
H,松本,●,0,1,42,32,10,51,4
A,金沢,○,3,1,45,33,12,54,3
H,長崎,○,2,0,47,33,14,57,3
A,北九州,○,1,0,48,33,15,60,3
A,徳島,○,1,0,49,33,16,63,3
H,清水,●,1,2,50,35,15,63,3
H,岐阜,○,3,2,53,37,16,66,3
A,岡山,△,1,1,54,38,16,67,3
H,山形,△,2,2,56,40,16,68,4
H,水戸,△,2,2,58,42,16,69,4
A,千葉,●,0,3,58,45,13,69,4
H,愛媛,○,1,0,59,45,14,72,4
A,東京Ｖ,○,2,1,61,46,15,75,4
H,熊本,○,1,0,62,46,16,78,4
