H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,群馬,●,0,4,0,4,-4,0,0,1,0,22
H,札幌,●,0,4,0,8,-8,0,0,2,0,22
H,北九州,○,1,0,1,8,-7,1,0,2,3,17
A,愛媛,○,3,0,4,8,-4,2,0,2,6,10
H,水戸,○,1,0,5,8,-3,3,0,2,9,8
A,徳島,○,3,1,8,9,-1,4,0,2,12,5
A,讃岐,●,2,3,10,12,-2,4,0,3,12,8
H,松本,●,0,2,10,14,-4,4,0,4,12,11
A,金沢,○,2,1,12,15,-3,5,0,4,15,8
H,山口,●,1,2,13,17,-4,5,0,5,15,9
A,町田,△,1,1,14,18,-4,5,1,5,16,10
H,清水,△,1,1,15,19,-4,5,2,5,17,10
A,岡山,○,1,0,16,19,-3,6,2,5,20,8
A,千葉,●,2,3,18,22,-4,6,2,6,20,9
H,山形,●,0,1,18,23,-5,6,2,7,20,10
H,長崎,●,2,4,20,27,-7,6,2,8,20,11
A,東京Ｖ,△,1,1,21,28,-7,6,3,8,21,11
H,Ｃ大阪,●,0,1,21,29,-8,6,3,9,21,13
A,横浜FC,○,2,1,23,30,-7,7,3,9,24,10
H,熊本,●,2,3,25,33,-8,7,3,10,24,10
H,京都,●,0,1,25,34,-9,7,3,11,24,13
A,長崎,●,1,2,26,36,-10,7,3,12,24,15
A,水戸,●,0,1,26,37,-11,7,3,13,24,17
H,金沢,●,0,1,26,38,-12,7,3,14,24,18
A,札幌,●,0,5,26,43,-17,7,3,15,24,19
A,清水,●,0,2,26,45,-19,7,3,16,24,19
H,讃岐,△,1,1,27,46,-19,7,4,16,25,20
A,松本,△,1,1,28,47,-19,7,5,16,26,20
H,徳島,△,1,1,29,48,-19,7,6,16,27,20
A,山形,△,1,1,30,49,-19,7,7,16,28,20
H,千葉,●,0,2,30,51,-21,7,7,17,28,20
H,愛媛,○,2,1,32,52,-20,8,7,17,31,20
A,山口,○,3,2,35,54,-19,9,7,17,34,20
H,岡山,●,0,5,35,59,-24,9,7,18,34,20
A,Ｃ大阪,●,2,3,37,62,-25,9,7,19,34,20
A,京都,●,0,1,37,63,-26,9,7,20,34,20
H,町田,●,1,2,38,65,-27,9,7,21,34,21
A,北九州,●,1,2,39,67,-28,9,7,22,34,22
H,群馬,○,2,1,41,68,-27,10,7,22,37,22
H,横浜FC,○,2,0,43,68,-25,11,7,22,40,19
A,熊本,●,0,1,43,69,-26,11,7,23,40,20
H,東京Ｖ,○,4,2,47,71,-24,12,7,23,43,20
